track_name,artists,album_name,track_genre
Comedy,Gen Hoshino,Comedy,acoustic
Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),acoustic
To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,acoustic
Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),acoustic
Hold On,Chord Overstreet,Hold On,acoustic
Days I Will Remember,Tyrone Wells,Days I Will Remember,acoustic
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There?,acoustic
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic
Hunger,Ross Copperman,Hunger,acoustic
Give Me Your Forever,Zack Tabudlo,Episode,acoustic
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,acoustic
Solo,Dan Berk,Solo,acoustic
Bad Liar,Anna Hamilton,Bad Liar,acoustic
Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),acoustic
Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,acoustic
ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),acoustic
At My Worst,Andrew Foy;Renee Foy,At My Worst,acoustic
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic
Photograph,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",acoustic
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic
Demons,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",acoustic
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,acoustic
93 Million Miles,Jason Mraz,Coffee Moment,acoustic
Unlonely,Jason Mraz,Human - Best Adult Pop Tunes,acoustic
Bella Luna,Jason Mraz,Mellow Adult Pop,acoustic
Winter Wonderland,Jason Mraz,Holly Jolly Christmas,acoustic
If It Kills Me,Jason Mraz,Feeling Good - Adult Pop Favorites,acoustic
Winter Wonderland,Jason Mraz,Christmas Time,acoustic
Winter Wonderland,Jason Mraz,Perfect Christmas Hits,acoustic
Winter Wonderland,Jason Mraz,Merry Christmas,acoustic
Winter Wonderland,Jason Mraz,Christmas Music - Holiday Hits,acoustic
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,Christmas Country Songs 2022,acoustic
Party of One,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,acoustic
Party of One,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,acoustic
Party of One,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,acoustic
Lonely This Christmas,KT Tunstall,Chill Christmas Dinner,acoustic
Throwing Good After Bad,Brandi Carlile,rainy day indie,acoustic
This Time Tomorrow,Brandi Carlile,Coffee Moment,acoustic
Lonely This Christmas,KT Tunstall,sadsadchristmas,acoustic
The Haves,Eddie Vedder,Mega Hits Autumn/Fall 2022,acoustic
When You're Wrong,Brandi Carlile,Mellow Adult Pop,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Country Car Hits,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Country Road Songs,acoustic
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,Finest Country,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Easy Country,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Cozy Country,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Good Times Country,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Laidback Country,acoustic
You and Me on the Rock,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,acoustic
Trampoline - Acoustic,Highland Peak,Trampoline (Acoustic),acoustic
透明だった世界,Motohiro Hata,Documentary,acoustic
Pieces,Andrew Belle,Black Bear,acoustic
A Drop in the Ocean,Ron Pope,The Bedroom Demos,acoustic
So Far Away - Acoustic,Adam Christopher,So Far Away (Acoustic),acoustic
The Enemy,Andrew Belle,Black Bear,acoustic
Build It Better,Aron Wright,Build It Better,acoustic
Sleepwalking in the Rain,Chord Overstreet,Sleepwalking in the Rain,acoustic
Gravity,Sara Bareilles,Little Voice,acoustic
What's Left of You,Chord Overstreet,What's Left of You,acoustic
Pano,Zack Tabudlo,Pano,acoustic
Sky's Still Blue,Andrew Belle,The Daylight EP,acoustic
And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,acoustic
We Can't Stop,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",acoustic
Always Be My Baby,Tim Halperin,Covers,acoustic
Alone with You,Canyon City,Midnight Waves,acoustic
Making All Things New,Aaron Espe,Making All Things New,acoustic
She Used To Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,acoustic
In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),acoustic
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,Under Covers,acoustic
A Drop In the Ocean,Ron Pope,Whatever It Takes,acoustic
Superman (It's Not Easy),Five For Fighting,America Town,acoustic
When the End Comes,Andrew Belle,Dive Deep,acoustic
You're Still The One,Bailey Jehl,You're Still The One,acoustic
Light Me Up,Ingrid Michaelson,It Doesn't Have To Make Sense,acoustic
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,acoustic
Kaleidoscope,A Great Big World,When the Morning Comes,acoustic
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",acoustic
What Would I Do Without You,Drew Holcomb & The Neighbors,Good Light,acoustic
Have It All,Jason Mraz,Know.,acoustic
Heavy Heart,Gabrielle Aplin,Mellow Adult Pop,acoustic
The House We Never Built,Gabrielle Aplin,Break Up Songs,acoustic
Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
Please Don't Say You Love Me,Gabrielle Aplin,u don't deserve me,acoustic
Please Don't Say You Love Me,Gabrielle Aplin,Coffee Moment,acoustic
Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),acoustic
Brave,Sara Bareilles,The Blessed Unrest,acoustic
Lonely This Christmas,KT Tunstall,Slow Christmas Songs 2022,acoustic
Lonely This Christmas,KT Tunstall,Lonely Christmas 2022,acoustic
Heaven Knows,Five For Fighting,Bookmarks,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Slow Christmas Songs 2022,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Alternative Christmas 2022,acoustic
Fairytale Of New York,KT Tunstall,Alternative Christmas 2022,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Acoustic Christmas Campfire,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Lonely Christmas 2022,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Chill Christmas Dinner,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,sadsadchristmas,acoustic
I Heard The Bells On Christmas Day,The Civil Wars,Christmas Country Songs 2022,acoustic
Hold On,KT Tunstall,Del gusto de mamá,acoustic
Suddenly I See,KT Tunstall,OO's Music Grandi Successi,acoustic
Rain,Motohiro Hata,言ノ葉,acoustic
Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),acoustic
